Material,Starting Stock,Used,Remaining,Reorder Level,Alert,
Slate 4x6x3,20,17,3,5,RESTOCK,https://a.co/d/0cvYZkZM
Slate 8x4x3,0,0,0,,RESTOCK,https://a.co/d/08c0rGZo
Slate 10x8x3,0,0,0,,RESTOCK,https://a.co/d/00TMHDtz
Slate 12x9x3,0,0,0,,RESTOCK,https://a.co/d/0j2PcjNz
Slate 12x10x3,0,0,0,,RESTOCK,https://a.co/d/03F6UoNv
Picture Holder 4in,0,0,0,,RESTOCK,https://a.co/d/081y5HCG
Coaster Slate (round) 4x4,0,0,0,,RESTOCK,https://a.co/d/0g7zQ3Md
Coaster Slate (square) 4x4,0,0,0,,RESTOCK,https://a.co/d/0cWm6Bxh
Coaster  Slate(Heart) 4x4,0,0,0,,RESTOCK,https://a.co/d/042Jjz7u
Coaster Slate (Hexagon) 4x4,0,0,0,,RESTOCK,https://a.co/d/05Yr7m4K
Coaster cork (round) 4x4,0,0,0,,RESTOCK,https://a.co/d/0gz6hNvx
Coaster cork (square)4x4,0,0,0,,RESTOCK,https://a.co/d/0ebxLbar
Cutting board 6x8,0,0,0,,RESTOCK,https://a.co/d/0gCFkpjZ
Cutting board 10x8,0,0,0,,RESTOCK,
Cutting board 12x9,0,0,0,,RESTOCK,https://a.co/d/0bufSYKh
Acrylic (black) 4x4x3,0,0,0,,RESTOCK,https://a.co/d/08JcCcPh
Acrylic (black) 4x6x3,0,0,0,,RESTOCK,https://a.co/d/036udKBf
Acrylic (black) 6x8x3,0,0,0,,RESTOCK,https://a.co/d/0ifQ3Y5T
Acrylic (clear) 4x4x3,0,0,0,,RESTOCK,https://a.co/d/03KNz3sU
Acrylic (clear) 4x6x3,0,0,0,,RESTOCK,https://a.co/d/0hNzi6W7
Acrylic (clear) 5x7x3,0,0,0,,RESTOCK,https://a.co/d/09r5zoCW
Basswood 4x4x3,0,0,0,,RESTOCK,https://a.co/d/07TRM7su
Poplar wood 5x5x3,0,0,0,,RESTOCK,https://a.co/d/0e8elISP
Baltic Birch 5x7x3,0,0,0,,RESTOCK,https://a.co/d/0cE1L5Go
Baltic Birch 6x8x3,0,0,0,,RESTOCK,https://a.co/d/04jtfu1w
